DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
HORTALEZA;16.0;29.0;11.0;15.0;4.0;14.0;21.0;5.0;17.0;0.0;8.0;23.0;2.0;16.0;28.0;4.0;43.0;2017;agosto
VILLAVERDE;21.0;48.0;3.0;9.0;7.0;43.0;16.0;5.0;16.0;4.0;8.0;96.0;3.0;72.0;84.0;3.0;3.0;2017;agosto
VILLA DE VALLECAS;7.0;33.0;5.0;13.0;81.0;16.0;15.0;3.0;12.0;3.0;0.0;113.0;0.0;49.0;67.0;1.0;0.0;2017;agosto
VICÁLVARO;12.0;18.0;0.0;12.0;3.0;9.0;5.0;1.0;7.0;0.0;0.0;73.0;2.0;15.0;16.0;0.0;1.0;2017;agosto
SAN BLAS - CANILLEJAS;16.0;29.0;3.0;23.0;3.0;24.0;17.0;5.0;24.0;2.0;10.0;91.0;2.0;69.0;180.0;17.0;1.0;2017;agosto
BARAJAS;6.0;12.0;5.0;4.0;0.0;15.0;8.0;2.0;7.0;0.0;1.0;1.0;0.0;4.0;8.0;0.0;0.0;2017;agosto
CENTRO;63.0;109.0;8.0;166.0;72.0;173.0;66.0;17.0;21.0;555.0;548.0;1791.0;0.0;429.0;742.0;49.0;40.0;2017;septiembre
ARGANZUELA;33.0;43.0;10.0;22.0;16.0;31.0;36.0;9.0;3.0;3.0;36.0;40.0;3.0;95.0;115.0;0.0;16.0;2017;septiembre
RETIRO;4.0;14.0;3.0;9.0;2.0;25.0;54.0;6.0;3.0;29.0;46.0;120.0;0.0;91.0;77.0;0.0;12.0;2017;septiembre
SALAMANCA;7.0;32.0;6.0;48.0;8.0;75.0;58.0;20.0;3.0;45.0;80.0;146.0;2.0;211.0;371.0;1.0;29.0;2017;septiembre
CHAMARTÍN;8.0;13.0;6.0;26.0;4.0;53.0;62.0;5.0;1.0;31.0;26.0;42.0;6.0;24.0;47.0;1.0;24.0;2017;septiembre
TETUÁN;12.0;23.0;5.0;39.0;10.0;38.0;49.0;6.0;12.0;12.0;18.0;530.0;9.0;117.0;206.0;9.0;6.0;2017;septiembre
CHAMBERÍ;21.0;9.0;0.0;24.0;11.0;36.0;44.0;9.0;3.0;9.0;9.0;369.0;7.0;195.0;370.0;8.0;24.0;2017;septiembre
FUENCARRAL - EL PARDO;15.0;12.0;1.0;8.0;2.0;21.0;43.0;5.0;9.0;5.0;27.0;4.0;0.0;76.0;98.0;1.0;44.0;2017;septiembre
MONCLOA - ARAVACA;13.0;56.0;0.0;21.0;3.0;31.0;57.0;7.0;10.0;1.0;11.0;414.0;4.0;29.0;41.0;1.0;13.0;2017;septiembre
LATINA;12.0;26.0;1.0;11.0;2.0;47.0;41.0;12.0;3.0;7.0;81.0;204.0;2.0;58.0;142.0;0.0;33.0;2017;septiembre
CARABANCHEL;20.0;36.0;5.0;62.0;6.0;88.0;48.0;14.0;20.0;35.0;100.0;118.0;0.0;144.0;239.0;4.0;32.0;2017;septiembre
USERA;31.0;39.0;20.0;24.0;4.0;77.0;24.0;13.0;8.0;37.0;99.0;113.0;3.0;30.0;108.0;0.0;16.0;2017;septiembre
PUENTE DE VALLECAS;89.0;72.0;23.0;70.0;4.0;93.0;60.0;14.0;21.0;386.0;128.0;214.0;0.0;131.0;199.0;2.0;89.0;2017;septiembre
MORATALAZ;3.0;11.0;3.0;25.0;0.0;10.0;31.0;3.0;7.0;1.0;2.0;65.0;5.0;10.0;30.0;3.0;21.0;2017;septiembre
CIUDAD LINEAL;67.0;19.0;6.0;80.0;5.0;41.0;61.0;8.0;6.0;2.0;17.0;144.0;0.0;24.0;31.0;1.0;37.0;2017;septiembre
HORTALEZA;15.0;25.0;6.0;21.0;4.0;39.0;41.0;5.0;3.0;0.0;22.0;18.0;0.0;58.0;95.0;4.0;68.0;2017;septiembre
VILLAVERDE;24.0;50.0;1.0;19.0;3.0;48.0;22.0;9.0;12.0;6.0;14.0;57.0;0.0;64.0;75.0;1.0;74.0;2017;septiembre
VILLA DE VALLECAS;25.0;20.0;9.0;13.0;20.0;43.0;20.0;1.0;7.0;14.0;9.0;42.0;0.0;57.0;87.0;1.0;29.0;2017;septiembre
VICÁLVARO;12.0;17.0;2.0;9.0;1.0;19.0;8.0;2.0;1.0;0.0;3.0;76.0;1.0;38.0;61.0;0.0;53.0;2017;septiembre
SAN BLAS - CANILLEJAS;11.0;25.0;5.0;29.0;5.0;13.0;46.0;5.0;4.0;17.0;6.0;122.0;0.0;114.0;202.0;8.0;46.0;2017;septiembre
BARAJAS;12.0;15.0;1.0;57.0;12.0;19.0;17.0;5.0;2.0;0.0;2.0;0.0;0.0;7.0;8.0;1.0;41.0;2017;septiembre
CENTRO;64.0;158.0;4.0;251.0;84.0;265.0;75.0;28.0;28.0;513.0;960.0;1877.0;0.0;507.0;1028.0;35.0;78.0;2017;octubre
ARGANZUELA;57.0;22.0;1.0;20.0;5.0;35.0;62.0;13.0;11.0;31.0;44.0;43.0;1.0;100.0;155.0;0.0;28.0;2017;octubre
RETIRO;3.0;21.0;0.0;13.0;3.0;25.0;43.0;8.0;2.0;44.0;31.0;90.0;0.0;30.0;38.0;2.0;31.0;2017;octubre
SALAMANCA;9.0;30.0;1.0;41.0;5.0;73.0;61.0;12.0;1.0;1.0;16.0;178.0;7.0;131.0;214.0;0.0;31.0;2017;octubre
CHAMARTÍN;11.0;26.0;3.0;25.0;6.0;54.0;71.0;10.0;4.0;10.0;21.0;71.0;1.0;45.0;92.0;0.0;74.0;2017;octubre
TETUÁN;26.0;30.0;4.0;63.0;18.0;44.0;55.0;12.0;11.0;8.0;29.0;538.0;16.0;112.0;248.0;13.0;50.0;2017;octubre
CHAMBERÍ;15.0;13.0;3.0;16.0;12.0;53.0;68.0;10.0;5.0;11.0;1.0;465.0;11.0;137.0;207.0;6.0;55.0;2017;octubre
FUENCARRAL - EL PARDO;23.0;24.0;10.0;151.0;12.0;30.0;57.0;6.0;16.0;1.0;15.0;13.0;1.0;52.0;97.0;0.0;16.0;2017;octubre
MONCLOA - ARAVACA;25.0;40.0;0.0;50.0;18.0;46.0;46.0;7.0;16.0;5.0;13.0;492.0;0.0;48.0;92.0;4.0;30.0;2017;octubre
LATINA;20.0;25.0;2.0;19.0;2.0;22.0;56.0;12.0;3.0;16.0;27.0;200.0;6.0;87.0;180.0;2.0;149.0;2017;octubre
CARABANCHEL;43.0;45.0;1.0;37.0;10.0;93.0;66.0;12.0;28.0;64.0;39.0;143.0;0.0;54.0;113.0;12.0;89.0;2017;octubre
USERA;32.0;50.0;7.0;9.0;2.0;95.0;31.0;4.0;10.0;76.0;147.0;125.0;3.0;43.0;146.0;4.0;31.0;2017;octubre
PUENTE DE VALLECAS;101.0;85.0;20.0;107.0;2.0;88.0;51.0;13.0;14.0;166.0;53.0;339.0;0.0;199.0;290.0;3.0;69.0;2017;octubre
MORATALAZ;8.0;19.0;10.0;24.0;0.0;20.0;23.0;3.0;5.0;1.0;2.0;61.0;0.0;3.0;9.0;3.0;18.0;2017;octubre
CIUDAD LINEAL;79.0;17.0;6.0;43.0;1.0;64.0;77.0;11.0;12.0;3.0;24.0;136.0;0.0;44.0;80.0;5.0;34.0;2017;octubre
HORTALEZA;7.0;17.0;8.0;17.0;4.0;27.0;22.0;12.0;8.0;3.0;29.0;17.0;4.0;29.0;40.0;12.0;66.0;2017;octubre
VILLAVERDE;26.0;45.0;3.0;57.0;7.0;35.0;29.0;3.0;8.0;11.0;11.0;78.0;0.0;79.0;108.0;0.0;44.0;2017;octubre
VILLA DE VALLECAS;28.0;27.0;0.0;19.0;40.0;39.0;27.0;6.0;7.0;19.0;26.0;72.0;2.0;41.0;71.0;4.0;37.0;2017;octubre
VICÁLVARO;9.0;14.0;3.0;15.0;3.0;16.0;13.0;2.0;4.0;0.0;0.0;57.0;0.0;51.0;43.0;0.0;65.0;2017;octubre
SAN BLAS - CANILLEJAS;23.0;28.0;0.0;17.0;3.0;20.0;48.0;8.0;17.0;4.0;52.0;70.0;0.0;69.0;187.0;13.0;67.0;2017;octubre
BARAJAS;13.0;19.0;1.0;15.0;2.0;25.0;20.0;7.0;3.0;1.0;1.0;1.0;0.0;10.0;19.0;0.0;36.0;2017;octubre
CENTRO;74.0;170.0;12.0;207.0;74.0;255.0;62.0;12.0;34.0;616.0;437.0;1737.0;1.0;323.0;580.0;43.0;46.0;2017;noviembre
ARGANZUELA;34.0;35.0;1.0;10.0;5.0;46.0;44.0;8.0;9.0;18.0;51.0;78.0;2.0;87.0;98.0;1.0;24.0;2017;noviembre
RETIRO;11.0;8.0;1.0;4.0;9.0;27.0;61.0;4.0;2.0;14.0;55.0;118.0;0.0;21.0;46.0;3.0;11.0;2017;noviembre
SALAMANCA;10.0;34.0;0.0;23.0;16.0;91.0;86.0;15.0;5.0;9.0;15.0;105.0;1.0;82.0;169.0;0.0;32.0;2017;noviembre
CHAMARTÍN;12.0;19.0;2.0;18.0;2.0;53.0;67.0;16.0;4.0;18.0;13.0;43.0;2.0;43.0;110.0;9.0;83.0;2017;noviembre
TETUÁN;15.0;31.0;18.0;74.0;20.0;47.0;54.0;5.0;6.0;18.0;32.0;272.0;11.0;61.0;138.0;6.0;22.0;2017;noviembre
CHAMBERÍ;13.0;13.0;2.0;36.0;13.0;46.0;68.0;8.0;2.0;11.0;1.0;370.0;12.0;68.0;109.0;14.0;17.0;2017;noviembre
FUENCARRAL - EL PARDO;11.0;15.0;0.0;6.0;0.0;15.0;71.0;5.0;16.0;1.0;9.0;7.0;0.0;69.0;112.0;3.0;20.0;2017;noviembre
MONCLOA - ARAVACA;20.0;31.0;0.0;21.0;1.0;29.0;55.0;14.0;18.0;0.0;0.0;428.0;0.0;44.0;98.0;2.0;12.0;2017;noviembre
LATINA;15.0;29.0;4.0;21.0;4.0;43.0;44.0;7.0;16.0;1.0;21.0;162.0;1.0;62.0;157.0;0.0;80.0;2017;noviembre
CARABANCHEL;34.0;43.0;8.0;46.0;7.0;86.0;47.0;13.0;30.0;27.0;24.0;88.0;2.0;56.0;167.0;7.0;87.0;2017;noviembre
USERA;16.0;45.0;1.0;7.0;1.0;57.0;29.0;8.0;3.0;31.0;102.0;63.0;0.0;49.0;159.0;1.0;29.0;2017;noviembre
PUENTE DE VALLECAS;83.0;62.0;14.0;90.0;1.0;82.0;64.0;7.0;18.0;167.0;35.0;175.0;0.0;185.0;224.0;9.0;30.0;2017;noviembre
MORATALAZ;13.0;15.0;2.0;19.0;2.0;15.0;29.0;4.0;7.0;0.0;0.0;56.0;2.0;15.0;36.0;7.0;19.0;2017;noviembre
CIUDAD LINEAL;51.0;10.0;3.0;41.0;4.0;55.0;80.0;15.0;16.0;2.0;18.0;119.0;0.0;52.0;99.0;5.0;33.0;2017;noviembre
HORTALEZA;15.0;16.0;2.0;13.0;0.0;35.0;31.0;8.0;9.0;3.0;17.0;26.0;4.0;76.0;94.0;7.0;67.0;2017;noviembre
VILLAVERDE;19.0;36.0;2.0;16.0;2.0;30.0;17.0;3.0;10.0;9.0;8.0;68.0;0.0;61.0;111.0;1.0;76.0;2017;noviembre
VILLA DE VALLECAS;18.0;27.0;6.0;17.0;72.0;30.0;20.0;3.0;5.0;8.0;7.0;58.0;0.0;12.0;52.0;2.0;34.0;2017;noviembre
VICÁLVARO;7.0;11.0;0.0;10.0;1.0;9.0;11.0;2.0;5.0;0.0;5.0;87.0;4.0;26.0;24.0;1.0;51.0;2017;noviembre
SAN BLAS - CANILLEJAS;13.0;22.0;1.0;37.0;8.0;42.0;50.0;6.0;12.0;0.0;78.0;119.0;1.0;44.0;113.0;11.0;64.0;2017;noviembre
BARAJAS;12.0;21.0;0.0;3.0;0.0;39.0;21.0;2.0;11.0;2.0;5.0;0.0;0.0;4.0;5.0;0.0;49.0;2017;noviembre
CENTRO;84.0;180.0;314.0;214.0;64.0;288.0;60.0;23.0;22.0;797.0;306.0;1673.0;2.0;177.0;399.0;44.0;13.0;2017;diciembre
ARGANZUELA;46.0;21.0;0.0;5.0;1.0;26.0;43.0;9.0;0.0;16.0;35.0;60.0;0.0;69.0;79.0;1.0;17.0;2017;diciembre
RETIRO;10.0;10.0;1.0;5.0;0.0;19.0;53.0;8.0;0.0;8.0;10.0;148.0;0.0;18.0;22.0;0.0;12.0;2017;diciembre
SALAMANCA;11.0;57.0;2.0;40.0;5.0;107.0;71.0;21.0;4.0;18.0;10.0;64.0;4.0;72.0;125.0;0.0;13.0;2017;diciembre
CHAMARTÍN;13.0;23.0;0.0;11.0;2.0;62.0;64.0;9.0;2.0;96.0;13.0;49.0;1.0;45.0;100.0;1.0;37.0;2017;diciembre
TETUÁN;29.0;39.0;55.0;65.0;29.0;51.0;62.0;16.0;23.0;18.0;24.0;443.0;27.0;62.0;159.0;8.0;13.0;2017;diciembre
CHAMBERÍ;29.0;18.0;2.0;23.0;10.0;56.0;69.0;7.0;5.0;6.0;4.0;451.0;26.0;60.0;122.0;6.0;30.0;2017;diciembre
FUENCARRAL - EL PARDO;19.0;18.0;1.0;5.0;0.0;28.0;45.0;12.0;12.0;1.0;7.0;9.0;2.0;14.0;18.0;0.0;6.0;2017;diciembre
MONCLOA - ARAVACA;26.0;31.0;3.0;8.0;2.0;20.0;41.0;13.0;13.0;8.0;6.0;439.0;3.0;27.0;78.0;0.0;12.0;2017;diciembre
LATINA;16.0;26.0;4.0;14.0;5.0;33.0;63.0;14.0;4.0;5.0;21.0;113.0;6.0;62.0;187.0;0.0;31.0;2017;diciembre
CARABANCHEL;38.0;52.0;9.0;39.0;7.0;101.0;50.0;18.0;19.0;69.0;15.0;81.0;0.0;41.0;148.0;6.0;43.0;2017;diciembre
USERA;22.0;46.0;18.0;10.0;0.0;86.0;27.0;9.0;5.0;36.0;84.0;62.0;2.0;41.0;169.0;0.0;17.0;2017;diciembre
PUENTE DE VALLECAS;91.0;58.0;39.0;104.0;3.0;84.0;53.0;14.0;14.0;4.0;21.0;114.0;2.0;110.0;190.0;0.0;3.0;2017;diciembre
MORATALAZ;3.0;17.0;4.0;28.0;1.0;17.0;21.0;5.0;9.0;0.0;1.0;45.0;3.0;21.0;34.0;2.0;19.0;2017;diciembre
CIUDAD LINEAL;99.0;24.0;6.0;61.0;2.0;48.0;65.0;15.0;10.0;1.0;24.0;70.0;0.0;24.0;39.0;4.0;22.0;2017;diciembre
HORTALEZA;11.0;29.0;0.0;12.0;0.0;32.0;41.0;4.0;13.0;6.0;20.0;13.0;0.0;37.0;70.0;2.0;37.0;2017;diciembre
VILLAVERDE;18.0;34.0;8.0;18.0;2.0;29.0;29.0;2.0;5.0;10.0;6.0;36.0;0.0;72.0;110.0;1.0;56.0;2017;diciembre
VILLA DE VALLECAS;14.0;28.0;6.0;7.0;60.0;22.0;21.0;5.0;2.0;11.0;10.0;47.0;5.0;9.0;25.0;1.0;10.0;2017;diciembre
VICÁLVARO;14.0;8.0;11.0;12.0;3.0;20.0;12.0;7.0;5.0;1.0;2.0;79.0;0.0;24.0;31.0;0.0;48.0;2017;diciembre
SAN BLAS - CANILLEJAS;8.0;33.0;1.0;21.0;12.0;31.0;49.0;7.0;20.0;3.0;27.0;102.0;0.0;23.0;41.0;3.0;17.0;2017;diciembre
BARAJAS;10.0;21.0;1.0;4.0;0.0;22.0;12.0;4.0;4.0;1.0;1.0;30.0;0.0;4.0;2.0;2.0;16.0;2017;diciembre
CENTRO;18.0;49.0;8.0;140.0;56.0;84.0;69.0;13.0;64.0;402.0;104.0;715.0;6.0;411.0;770.0;60.0;28.0;2018;enero
ARGANZUELA;1.0;1.0;3.0;2.0;2.0;25.0;57.0;17.0;27.0;6.0;21.0;29.0;1.0;153.0;146.0;7.0;6.0;2018;enero
RETIRO;0.0;0.0;0.0;11.0;0.0;13.0;68.0;7.0;9.0;5.0;10.0;83.0;0.0;25.0;52.0;2.0;29.0;2018;enero
SALAMANCA;3.0;7.0;1.0;30.0;6.0;53.0;85.0;11.0;27.0;82.0;2.0;72.0;0.0;73.0;106.0;0.0;26.0;2018;enero
CHAMARTÍN;0.0;7.0;0.0;11.0;4.0;31.0;72.0;20.0;14.0;9.0;1.0;31.0;0.0;29.0;36.0;2.0;48.0;2018;enero
TETUÁN;3.0;3.0;1.0;24.0;2.0;48.0;39.0;13.0;28.0;3.0;0.0;259.0;9.0;73.0;170.0;12.0;6.0;2018;enero
CHAMBERÍ;3.0;1.0;1.0;41.0;21.0;17.0;31.0;14.0;32.0;0.0;2.0;268.0;12.0;116.0;250.0;10.0;49.0;2018;enero
FUENCARRAL - EL PARDO;0.0;0.0;1.0;7.0;1.0;21.0;56.0;16.0;47.0;2.0;0.0;0.0;0.0;79.0;111.0;0.0;20.0;2018;enero
MONCLOA - ARAVACA;4.0;10.0;1.0;10.0;1.0;21.0;59.0;10.0;33.0;0.0;0.0;250.0;7.0;45.0;65.0;0.0;19.0;2018;enero
LATINA;1.0;1.0;0.0;3.0;0.0;22.0;35.0;7.0;56.0;0.0;0.0;93.0;0.0;48.0;131.0;0.0;74.0;2018;enero
CARABANCHEL;8.0;4.0;4.0;23.0;2.0;27.0;47.0;13.0;85.0;6.0;1.0;45.0;1.0;96.0;146.0;7.0;99.0;2018;enero
USERA;4.0;5.0;4.0;5.0;0.0;35.0;33.0;13.0;35.0;0.0;20.0;65.0;1.0;31.0;142.0;0.0;32.0;2018;enero
PUENTE DE VALLECAS;4.0;11.0;10.0;37.0;24.0;62.0;47.0;13.0;62.0;9.0;3.0;112.0;4.0;153.0;330.0;0.0;21.0;2018;enero
MORATALAZ;0.0;1.0;1.0;11.0;6.0;11.0;22.0;5.0;11.0;0.0;1.0;29.0;10.0;70.0;58.0;6.0;17.0;2018;enero
CIUDAD LINEAL;0.0;0.0;1.0;20.0;8.0;38.0;55.0;12.0;61.0;8.0;13.0;70.0;3.0;54.0;83.0;2.0;30.0;2018;enero
HORTALEZA;11.0;17.0;0.0;4.0;4.0;13.0;31.0;4.0;45.0;4.0;6.0;1.0;0.0;24.0;36.0;4.0;38.0;2018;enero
VILLAVERDE;4.0;5.0;5.0;33.0;5.0;39.0;30.0;14.0;19.0;5.0;7.0;29.0;3.0;80.0;110.0;1.0;70.0;2018;enero
VILLA DE VALLECAS;0.0;6.0;3.0;18.0;1.0;16.0;24.0;8.0;22.0;0.0;0.0;10.0;0.0;65.0;132.0;4.0;32.0;2018;enero
VICÁLVARO;0.0;0.0;1.0;4.0;0.0;3.0;11.0;3.0;10.0;0.0;0.0;52.0;0.0;29.0;41.0;0.0;36.0;2018;enero
SAN BLAS - CANILLEJAS;5.0;16.0;2.0;40.0;8.0;24.0;61.0;9.0;40.0;0.0;0.0;38.0;5.0;30.0;59.0;13.0;51.0;2018;enero
BARAJAS;0.0;0.0;0.0;0.0;0.0;10.0;10.0;5.0;10.0;0.0;0.0;0.0;0.0;61.0;66.0;2.0;39.0;2018;enero
CENTRO;15.0;27.0;1.0;109.0;54.0;120.0;63.0;18.0;49.0;312.0;123.0;894.0;8.0;508.0;1026.0;0.0;3.0;2018;febrero
ARGANZUELA;0.0;0.0;0.0;6.0;0.0;26.0;44.0;7.0;24.0;5.0;18.0;76.0;2.0;163.0;151.0;0.0;0.0;2018;febrero
RETIRO;1.0;4.0;0.0;7.0;2.0;13.0;45.0;4.0;17.0;5.0;2.0;101.0;10.0;11.0;28.0;0.0;0.0;2018;febrero
SALAMANCA;8.0;7.0;0.0;12.0;4.0;48.0;63.0;14.0;21.0;0.0;1.0;67.0;0.0;185.0;265.0;0.0;0.0;2018;febrero
CHAMARTÍN;2.0;9.0;0.0;12.0;5.0;29.0;60.0;15.0;23.0;1.0;1.0;111.0;1.0;22.0;40.0;0.0;0.0;2018;febrero
TETUÁN;1.0;1.0;2.0;51.0;3.0;38.0;56.0;10.0;26.0;0.0;4.0;298.0;5.0;74.0;189.0;0.0;0.0;2018;febrero
CHAMBERÍ;5.0;7.0;1.0;14.0;2.0;13.0;51.0;7.0;22.0;0.0;0.0;275.0;14.0;101.0;164.0;0.0;0.0;2018;febrero
FUENCARRAL - EL PARDO;0.0;0.0;0.0;6.0;3.0;17.0;41.0;10.0;55.0;4.0;0.0;12.0;1.0;64.0;92.0;0.0;0.0;2018;febrero
MONCLOA - ARAVACA;5.0;4.0;0.0;1.0;7.0;26.0;46.0;3.0;42.0;2.0;0.0;308.0;11.0;40.0;61.0;0.0;0.0;2018;febrero
LATINA;0.0;4.0;3.0;14.0;4.0;30.0;48.0;9.0;32.0;0.0;6.0;92.0;3.0;29.0;100.0;0.0;1.0;2018;febrero
CARABANCHEL;13.0;9.0;1.0;26.0;2.0;52.0;46.0;10.0;48.0;3.0;0.0;67.0;3.0;111.0;142.0;1.0;17.0;2018;febrero
USERA;0.0;0.0;0.0;1.0;1.0;38.0;28.0;11.0;50.0;0.0;17.0;78.0;1.0;44.0;155.0;0.0;0.0;2018;febrero
PUENTE DE VALLECAS;5.0;11.0;4.0;43.0;14.0;85.0;62.0;14.0;52.0;12.0;0.0;108.0;1.0;135.0;286.0;0.0;0.0;2018;febrero
MORATALAZ;2.0;0.0;2.0;6.0;4.0;12.0;28.0;5.0;10.0;0.0;0.0;30.0;5.0;49.0;47.0;1.0;6.0;2018;febrero
CIUDAD LINEAL;1.0;0.0;1.0;12.0;4.0;40.0;63.0;13.0;50.0;1.0;16.0;81.0;8.0;37.0;55.0;0.0;0.0;2018;febrero
HORTALEZA;8.0;10.0;5.0;10.0;5.0;11.0;32.0;8.0;44.0;1.0;1.0;2.0;6.0;51.0;68.0;0.0;0.0;2018;febrero
VILLAVERDE;3.0;12.0;2.0;35.0;4.0;32.0;22.0;7.0;23.0;7.0;6.0;29.0;1.0;69.0;67.0;0.0;0.0;2018;febrero
VILLA DE VALLECAS;0.0;3.0;0.0;8.0;36.0;24.0;25.0;3.0;26.0;0.0;0.0;23.0;0.0;60.0;136.0;0.0;0.0;2018;febrero
VICÁLVARO;0.0;0.0;5.0;9.0;5.0;6.0;15.0;3.0;8.0;0.0;0.0;40.0;1.0;8.0;12.0;0.0;0.0;2018;febrero
SAN BLAS - CANILLEJAS;10.0;7.0;1.0;28.0;4.0;22.0;59.0;8.0;30.0;0.0;3.0;47.0;9.0;34.0;45.0;10.0;31.0;2018;febrero
BARAJAS;1.0;1.0;0.0;1.0;1.0;12.0;18.0;5.0;7.0;0.0;2.0;0.0;0.0;73.0;71.0;0.0;0.0;2018;febrero
CENTRO;12.0;22.0;4.0;129.0;72.0;103.0;58.0;15.0;57.0;471.0;510.0;1186.0;14.0;307.0;605.0;0.0;0.0;2018;marzo
ARGANZUELA;2.0;1.0;1.0;8.0;3.0;34.0;45.0;11.0;11.0;20.0;35.0;47.0;0.0;158.0;202.0;0.0;0.0;2018;marzo
RETIRO;2.0;0.0;0.0;2.0;0.0;14.0;39.0;8.0;16.0;2.0;18.0;105.0;8.0;51.0;72.0;0.0;0.0;2018;marzo
SALAMANCA;15.0;32.0;4.0;26.0;7.0;47.0;77.0;11.0;13.0;0.0;2.0;70.0;5.0;233.0;414.0;0.0;0.0;2018;marzo
CHAMARTÍN;1.0;10.0;0.0;42.0;1.0;33.0;72.0;12.0;11.0;0.0;0.0;238.0;11.0;29.0;85.0;0.0;0.0;2018;marzo
TETUÁN;6.0;7.0;2.0;39.0;1.0;48.0;52.0;11.0;16.0;2.0;2.0;400.0;7.0;217.0;389.0;0.0;0.0;2018;marzo
CHAMBERÍ;3.0;4.0;0.0;27.0;2.0;16.0;36.0;10.0;10.0;1.0;0.0;332.0;14.0;112.0;236.0;0.0;0.0;2018;marzo
FUENCARRAL - EL PARDO;2.0;0.0;0.0;10.0;0.0;16.0;40.0;17.0;36.0;3.0;1.0;3.0;0.0;69.0;96.0;0.0;0.0;2018;marzo
MONCLOA - ARAVACA;2.0;4.0;1.0;2.0;8.0;20.0;52.0;13.0;26.0;0.0;0.0;368.0;12.0;29.0;43.0;0.0;0.0;2018;marzo
LATINA;1.0;0.0;4.0;21.0;0.0;34.0;39.0;11.0;31.0;1.0;2.0;94.0;2.0;45.0;131.0;0.0;0.0;2018;marzo
CARABANCHEL;8.0;10.0;4.0;14.0;7.0;61.0;39.0;21.0;36.0;8.0;3.0;59.0;0.0;139.0;241.0;1.0;14.0;2018;marzo
USERA;1.0;2.0;0.0;9.0;1.0;27.0;29.0;11.0;31.0;3.0;7.0;83.0;0.0;49.0;133.0;0.0;0.0;2018;marzo
PUENTE DE VALLECAS;10.0;11.0;5.0;57.0;22.0;69.0;41.0;8.0;35.0;2.0;1.0;84.0;0.0;139.0;235.0;0.0;0.0;2018;marzo
MORATALAZ;1.0;1.0;1.0;5.0;4.0;15.0;13.0;5.0;8.0;0.0;0.0;20.0;1.0;18.0;15.0;2.0;12.0;2018;marzo
CIUDAD LINEAL;0.0;0.0;0.0;2.0;2.0;43.0;36.0;12.0;45.0;2.0;25.0;83.0;8.0;53.0;72.0;0.0;0.0;2018;marzo
HORTALEZA;7.0;19.0;1.0;12.0;0.0;29.0;26.0;4.0;34.0;0.0;0.0;29.0;0.0;40.0;78.0;0.0;0.0;2018;marzo
VILLAVERDE;5.0;11.0;2.0;24.0;1.0;31.0;20.0;13.0;12.0;7.0;3.0;50.0;0.0;88.0;127.0;0.0;1.0;2018;marzo
VILLA DE VALLECAS;1.0;5.0;2.0;18.0;119.0;24.0;14.0;2.0;21.0;0.0;0.0;50.0;6.0;35.0;78.0;0.0;0.0;2018;marzo
VICÁLVARO;0.0;0.0;2.0;10.0;1.0;11.0;13.0;4.0;9.0;1.0;0.0;57.0;2.0;20.0;28.0;0.0;0.0;2018;marzo
SAN BLAS - CANILLEJAS;13.0;16.0;3.0;23.0;3.0;40.0;44.0;16.0;19.0;0.0;1.0;28.0;0.0;14.0;22.0;6.0;34.0;2018;marzo
BARAJAS;2.0;2.0;0.0;1.0;0.0;2.0;11.0;3.0;11.0;0.0;0.0;1.0;0.0;31.0;45.0;0.0;0.0;2018;marzo
CENTRO;13.0;52.0;2.0;149.0;66.0;186.0;83.0;20.0;71.0;508.0;323.0;1004.0;14.0;410.0;860.0;3.0;0.0;2018;abril
ARGANZUELA;7.0;6.0;0.0;12.0;2.0;27.0;43.0;12.0;20.0;42.0;28.0;55.0;0.0;194.0;185.0;0.0;5.0;2018;abril
RETIRO;3.0;1.0;1.0;8.0;2.0;19.0;55.0;5.0;14.0;2.0;0.0;74.0;7.0;48.0;49.0;1.0;0.0;2018;abril
SALAMANCA;20.0;37.0;1.0;10.0;5.0;41.0;68.0;8.0;24.0;0.0;0.0;63.0;2.0;196.0;296.0;0.0;1.0;2018;abril
CHAMARTÍN;3.0;6.0;0.0;8.0;5.0;69.0;66.0;18.0;26.0;14.0;25.0;143.0;5.0;194.0;331.0;0.0;0.0;2018;abril
TETUÁN;6.0;4.0;1.0;23.0;1.0;34.0;55.0;6.0;33.0;6.0;14.0;331.0;13.0;188.0;318.0;0.0;0.0;2018;abril
CHAMBERÍ;8.0;9.0;0.0;20.0;2.0;26.0;50.0;11.0;19.0;0.0;3.0;239.0;17.0;163.0;310.0;0.0;0.0;2018;abril
FUENCARRAL - EL PARDO;0.0;1.0;0.0;22.0;0.0;30.0;46.0;9.0;49.0;3.0;0.0;21.0;0.0;40.0;70.0;0.0;0.0;2018;abril
